building_id,source,sink_id,est_depth_m,lon,lat,x,y
osm_153,osm,200,0.26686689230675675,133.91142003125776,33.501524146510285,398886.2175199055,3707418.421702294
osm_38,osm,168,1.778428367441819,133.89706988570936,33.50309357123246,397555.0753932984,3707606.507787165
osm_68,osm,168,0.19501965573621582,133.89250492849834,33.50340520158579,397131.4103553507,3707645.5759696844
osm_59,osm,168,1.547144660447362,133.89599165048006,33.502616634768074,397454.3568492762,3707554.6912804022
osm_253,osm,252,0.7830392036920149,133.93092395003563,33.49086755004514,400685.7724618526,3706218.0236478937
osm_232,osm,252,0.0,133.92854168396394,33.491983432441444,400465.73321942,3706344.0302847666
osm_183,osm,228,0.13178314625228715,133.91129164884993,33.497560569390494,398869.6825273426,3706979.077643912
osm_184,osm,228,0.05707310049016456,133.9106103164829,33.49785679741207,398806.7351374294,3707012.586513415
osm_241,osm,242,0.15793223472086737,133.9242088056149,33.4943674122933,400065.9463587826,3706612.520551088
osm_229,osm,242,0.0,133.924873599975,33.493899049988784,400127.16650399397,3706559.950331719
osm_181,osm,232,0.0,133.91074101698405,33.497420315342126,398818.36862115376,3706964.063331302
osm_31,osm,167,0.7527380382086388,133.90537382224218,33.50826284742811,398332.46343795635,3708171.4960197774
osm_30,osm,167,0.18127167464224847,133.90383543043873,33.50380757546959,398184.3549090182,3707679.0166047816
osm_29,osm,167,0.4371493429761202,133.9042587015554,33.504391773771815,398224.355592419,3707743.375629074
osm_213,osm,167,0.1352180964889218,133.90600950884334,33.50460057640174,398387.2275039835,3707764.811410047
osm_202,osm,167,0.5767833067844634,133.90410610586505,33.50725967627093,398213.5392338536,3708061.5100373956
osm_199,osm,167,0.2335776466732753,133.90575556348145,33.50412986492668,398363.0889716181,3707712.8689794154
osm_198,osm,167,0.40252582583854135,133.90533265445546,33.50364185580573,398323.2352401395,3707659.1742200963
osm_19,osm,167,0.5085312383385325,133.90551810083628,33.50268412078745,398339.3411834156,3707552.801719443
osm_18,osm,167,0.03961940853381307,133.90580157881575,33.50249010726624,398365.44643298985,3707531.012432455
osm_12,osm,167,0.6279068936212049,133.9047374024536,33.50475436697192,398269.2451396011,3707783.109546406
osm_118,osm,167,0.07187492042361576,133.90544984416053,33.50252852868197,398332.81894214405,3707535.616990393
osm_119,osm,167,0.6414574675329003,133.90556089575483,33.502981180857375,398343.6636886827,3707585.696941784
osm_214,osm,167,0.07504619892531394,133.9064603161938,33.504415278747096,398428.8852228715,3707743.824842128
osm_243,osm,240,0.9221410271399879,133.92391674560773,33.49466365464889,400039.15509112924,3706645.648107452
osm_4,osm,42,0.002498878166004914,133.91253355000592,33.51652445009039,399007.08197790047,3709080.5267570824
osm_125,osm,212,0.3101420746148573,133.91240338861155,33.499611515654436,398975.33981018845,3707205.3975224
osm_65,osm,215,0.042233915776666464,133.8969908000283,33.50037370007743,397544.52434554417,3707305.014306251
osm_129,osm,215,0.3776227701640007,133.90016932805852,33.50030346228484,397839.70081292145,3707294.09339494
osm_128,osm,215,0.2810769893079019,133.90180764646593,33.49940916525051,397990.8380198613,3707193.3249895186
osm_58,osm,215,0.5334911340407356,133.90064250006228,33.49903905014955,397882.16974450875,3707153.4334561396
osm_57,osm,215,0.39071975815807214,133.90025491945428,33.49908569828648,397846.2209645887,3707158.9870554167
osm_56,osm,215,0.2385891339332229,133.89988670002637,33.49914620004615,397812.0870205069,3707166.05777675
osm_55,osm,215,0.10395810782535087,133.90074263412566,33.49949935499524,397892.01201573684,3707204.372185542
osm_54,osm,215,0.08613782992617658,133.9012348140146,33.499383115098496,397937.59547369217,3707190.9997637053
osm_53,osm,215,0.313546958234582,133.8994372000289,33.499258950044194,397770.4641530796,3707179.0018050587
osm_50,osm,215,0.40832077358275853,133.89938233159396,33.49992050128727,397766.1450459876,3707252.4067144357
osm_49,osm,215,0.137441180568457,133.90081930059617,33.49972036710951,397899.3932702751,3707228.8019375443
osm_27,osm,215,0.2044353959022125,133.90088176133236,33.499299588410985,397904.701366621,3707182.0857951385
osm_26,osm,215,0.16549860474714606,133.90083946077976,33.49963012289505,397901.160038944,3707218.776093342
osm_14,osm,215,0.2719644200239326,133.90027314071423,33.4994188569902,397848.30496584455,3707195.9087779555
osm_138,osm,18,0.6315984964918897,133.91324904999854,33.519209000035985,399076.6514778097,3709377.485820836
osm_3,osm,18,0.04785567909060795,133.91327001004663,33.51950915694928,399078.9466881996,3709410.7459918745
